Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0102.a4.txt,a4,1558.32,1108.99,344.17,564.05,10,0,5
0103.a4.txt,a4,992.46,1183.98,296.0,412.07,11,0,4
0104.a4.txt,a4,1495.33,1112.15,383.18,644.86,4,0,4
0105.a4.txt,a4,1420.52,1138.67,721.53,541.15,6,0,2
0106.a4.txt,a4,1387.0,1066.93,407.37,708.05,7,0,5
0107.a4.txt,a4,1529.18,1307.85,432.6,653.92,5,0,2
0108.a4.txt,a4,1449.28,1295.29,389.49,615.94,8,0,2
0109.a4.txt,a4,1663.6,1130.51,386.03,652.57,3,0,3
0110.a4.txt,a4,1788.99,1146.79,332.57,607.8,3,0,1
0111.a4.txt,a4,1425.58,1215.93,387.84,670.86,4,0,5
0112.a4.txt,a4,1430.03,1174.67,388.15,541.37,1,0,3
0115.a4.txt,a4,1872.95,843.37,514.79,711.94,3,0,3
0119.a4.txt,a4,1549.89,1348.2,360.93,467.09,2,0,4
0120.a4.txt,a4,1263.79,1364.09,330.99,541.62,6,0,4
0121.a4.txt,a4,1390.06,1078.35,454.93,598.15,9,0,3
0122.a4.txt,a4,1647.89,1035.21,401.41,605.63,7,0,5
0127.a4.txt,a4,1236.87,1131.86,641.77,525.09,6,0,5
0128.a4.txt,a4,1833.84,1094.22,385.01,516.72,3,0,2
0130.a4.txt,a4,1628.55,988.11,494.05,475.75,7,0,3
0134.a4.txt,a4,1310.86,992.51,346.44,767.79,4,0,0
0135.a4.txt,a4,1677.42,1000.0,569.89,709.68,8,0,2
0136.a4.txt,a4,1356.44,1122.83,316.5,625.47,9,1,3
0137.a4.txt,a4,1772.43,984.68,393.87,536.11,5,0,5
0139.a4.txt,a4,1401.35,829.6,302.69,762.33,6,0,2
0140.a4.txt,a4,1411.76,1037.43,438.5,545.45,7,0,4
0149.a4.txt,a4,1383.42,1168.75,327.97,691.71,6,0,5
0156.a4.txt,a4,1254.44,1266.27,449.7,508.88,3,0,4
0157.a4.txt,a4,1389.76,1065.83,564.26,710.55,7,0,1
0158.a4.txt,a4,1399.63,1086.56,561.69,672.19,6,0,1
0159.a4.txt,a4,1560.35,1059.86,461.24,628.07,7,0,4
0161.a4.txt,a4,1634.24,1079.77,282.1,729.57,4,0,4
0165.a4.txt,a4,1854.19,1008.1,396.04,405.04,7,0,2
0168.a4.txt,a4,1498.74,1020.15,472.29,629.72,14,0,6
0169.a4.txt,a4,1470.27,1264.86,345.95,713.51,3,0,1
0171.a4.txt,a4,1420.18,1008.81,342.8,607.25,8,0,3
0175.a4.txt,a4,1563.15,1066.25,403.73,703.93,7,0,2
0176.a4.txt,a4,1588.52,985.65,526.32,583.73,10,0,3
0177.a4.txt,a4,1093.08,1400.51,512.38,734.42,6,0,4
0178.a4.txt,a4,1733.0,1061.36,447.76,704.81,4,0,3
0179.a4.txt,a4,1756.62,1040.24,215.9,902.85,10,0,2
0185.a4.txt,a4,1630.77,1128.21,338.46,697.44,8,0,1
0186.a4.txt,a4,1523.61,1233.91,343.35,536.48,2,0,5
0187.a4.txt,a4,1370.61,1326.75,328.95,526.32,4,0,6
0188.a4.txt,a4,1675.87,1003.68,460.41,607.73,6,0,2
0190.a4.txt,a4,1338.83,1040.16,339.86,473.74,4,1,5
0192.a4.txt,a4,1781.97,1184.49,356.39,440.25,2,0,2
0193.a4.txt,a4,1467.76,1035.67,253.77,452.67,6,0,5
0194.a4.txt,a4,1675.03,1173.52,391.17,571.72,7,0,3
0195.a4.txt,a4,1597.29,1122.94,319.46,377.54,5,0,4
0196.a4.txt,a4,1243.24,1196.91,416.99,579.15,5,0,2
0197.a4.txt,a4,1402.06,1206.19,402.06,474.23,6,0,4
0198.a4.txt,a4,1129.34,1129.34,357.14,424.71,4,0,5
0199.a4.txt,a4,1639.16,946.09,407.04,726.07,8,0,3
0200.a4.txt,a4,1474.56,1298.03,643.82,550.36,4,0,1
0202.a4.txt,a4,1390.37,1454.55,192.51,363.64,2,0,2
0204.a4.txt,a4,1478.06,1073.9,369.52,531.18,7,0,1
0205.a4.txt,a4,1404.49,1059.39,465.49,529.7,11,0,3
0206.a4.txt,a4,1158.83,1037.28,421.39,632.09,7,0,6
0208.a4.txt,a4,1022.57,1389.28,571.23,507.76,7,0,4
0213.a4.txt,a4,1728.4,1059.67,483.54,504.12,3,1,3
0214.a4.txt,a4,1254.09,1297.71,599.78,545.26,8,0,6
0215.a4.txt,a4,1725.24,942.49,311.5,583.07,11,0,4
0216.a4.txt,a4,1445.68,1300.26,290.85,470.49,8,0,4
0218.a4.txt,a4,1243.68,1162.79,212.34,616.78,5,1,1
0219.a4.txt,a4,1228.99,1186.97,619.75,766.81,7,0,1
0222.a4.txt,a4,1675.28,1209.93,423.99,599.79,3,0,3
0223.a4.txt,a4,1366.34,1366.34,386.14,455.45,5,0,4
0224.a4.txt,a4,1319.23,1120.1,367.14,665.84,8,0,5
0227.a4.txt,a4,1738.46,1115.38,323.08,407.69,8,0,3
0234.a4.txt,a4,1631.13,980.81,522.39,746.27,9,0,2
0235.a4.txt,a4,1461.62,1156.68,294.43,651.95,5,0,4
0237.a4.txt,a4,1482.65,1198.74,462.67,736.07,3,0,1
0238.a4.txt,a4,1487.76,1299.44,310.73,470.81,5,0,1
1003.a4.txt,a4,1885.63,1051.0,293.66,618.24,4,0,1
1005.a4.txt,a4,1558.55,977.25,387.53,480.2,7,0,4
1006.a4.txt,a4,1926.0,825.43,455.41,806.45,8,0,1
1008.a4.txt,a4,1617.65,990.2,549.02,705.88,6,2,3
1009.a4.txt,a4,1694.17,1045.1,374.04,561.06,7,0,2
1010.a4.txt,a4,1689.03,812.94,465.67,741.91,11,0,3
1012.a4.txt,a4,1739.13,948.62,355.73,770.75,8,0,1
1013.a4.txt,a4,1404.88,1073.17,302.44,663.41,10,0,0
1014.a4.txt,a4,1382.11,1270.33,386.18,569.11,7,0,1
1017.a4.txt,a4,1524.02,1043.54,540.54,750.75,3,0,1
1018.a4.txt,a4,1500.0,1201.61,427.42,637.1,8,0,2
1021.a4.txt,a4,1626.02,1002.71,447.15,813.01,8,0,0
1022.a4.txt,a4,1519.31,1167.38,480.69,549.36,8,0,2
1023.a4.txt,a4,1684.78,815.22,471.01,833.33,12,1,2
1032.a4.txt,a4,1162.11,1269.53,546.88,673.83,7,1,1
1034.a4.txt,a4,1518.05,1114.65,573.25,668.79,9,0,2
1036.a4.txt,a4,1546.28,1139.95,496.61,620.77,10,0,3
1043.a4.txt,a4,1356.1,1043.9,478.05,760.98,8,0,1
1048.a4.txt,a4,1432.41,1307.07,564.01,528.2,4,0,2
1049.a4.txt,a4,1368.31,1286.01,493.83,802.47,7,0,1
1050.a4.txt,a4,1541.26,1189.32,400.49,776.7,4,0,2
